0.9 , 5.6
0.902 , 4.4
0.904 , 5.2
0.906 , 4.4
0.908 , 5.1
0.91 , 5.3
0.912 , 4.9
0.914 , 5.7
0.916 , 6.6
0.918 , 6.4
0.92 , 5.5
0.922 , 5.6
0.924 , 6.8
0.926 , 6.0
0.928 , 5.6
0.93 , 6.5
0.932 , 6.4
0.934 , 5.5
0.936 , 5.0
0.938 , 6.0
0.94 , 5.1
0.942 , 6.0
0.944 , 5.0
0.946 , 5.3
0.948 , 5.0
0.95 , 5.4
0.952 , 5.9
0.954 , 6.6
0.956 , 5.0
0.958 , 4.7
0.96 , 5.3
0.962 , 5.9
0.964 , 6.2
0.966 , 5.6
0.968 , 6.8
0.97 , 6.6
0.972 , 5.8
0.974 , 7.0
0.976 , 4.5
0.978 , 6.6
0.98 , 5.9
0.982 , 6.6
0.984 , 5.3
0.986 , 4.6
0.988 , 6.7
0.99 , 5.5
0.992 , 5.1
0.994 , 5.6
0.996 , 5.5
0.998 , 4.6
1.0 , 4.6
1.002 , 6.7
1.004 , 4.6
1.006 , 6.8
1.008 , 4.8
1.01 , 6.8
1.012 , 5.9
1.014 , 5.1
1.016 , 4.8
1.018 , 5.0
1.02 , 5.4
1.022 , 5.0
1.024 , 6.6
1.026 , 5.1
1.028 , 5.3
1.03 , 5.9
1.032 , 4.7
1.034 , 6.0
1.036 , 5.0
1.038 , 6.0
1.04 , 5.8
1.042 , 7.0
1.044 , 6.9
1.046 , 6.1
1.048 , 7.5
1.05 , 5.8
1.052 , 4.9
1.054 , 6.1
1.056 , 5.1
1.058 , 6.4
1.06 , 6.2
1.062 , 6.7
1.064 , 5.7
1.066 , 7.7
1.068 , 5.8
1.07 , 6.0
1.072 , 6.1
1.074 , 5.8
1.076 , 5.9
1.078 , 5.4
1.08 , 6.6
1.082 , 6.6
1.084 , 4.6
1.086 , 5.1
1.088 , 5.9
1.09 , 5.6
1.092 , 6.0
1.094 , 6.6
1.096 , 5.4
1.098 , 5.8
1.1 , 5.6
1.102 , 6.5
1.104 , 5.6
1.106 , 7.6
1.108 , 6.0
1.11 , 5.8
1.112 , 6.6
1.114 , 6.4
1.116 , 4.9
1.118 , 5.3
1.12 , 5.9
1.122 , 5.8
1.124 , 6.7
1.126 , 5.1
1.128 , 5.0
1.13 , 5.4
1.132 , 5.1
1.134 , 7.4
1.136 , 5.7
1.138 , 4.8
1.14 , 6.7
1.142 , 6.2
1.144 , 5.7
1.146 , 5.6
1.148 , 5.8
1.15 , 6.0
1.152 , 5.4
1.154 , 5.3
1.156 , 5.7
1.158 , 7.1
1.16 , 4.4
1.162 , 5.8
1.164 , 6.7
1.166 , 6.1
1.168 , 5.1
1.17 , 6.1
1.172 , 5.2
1.174 , 6.9
1.176 , 5.9
1.178 , 6.3
1.18 , 5.5
1.182 , 5.5
1.184 , 5.3
1.186 , 5.2
1.188 , 5.9
1.19 , 5.4
1.192 , 5.5
1.194 , 6.8
1.196 , 6.0
1.198 , 5.5
1.2 , 5.6
1.202 , 5.0
1.204 , 5.0
1.206 , 4.8
1.208 , 5.0
1.21 , 4.2
1.212 , 5.4
1.214 , 5.5
1.216 , 6.6
1.218 , 6.3
1.22 , 6.5
1.222 , 6.2
1.224 , 5.1
1.226 , 4.9
1.228 , 7.0
1.23 , 6.4
1.232 , 5.3
1.234 , 5.2
1.236 , 5.2
1.238 , 5.6
1.24 , 6.1
1.242 , 6.4
1.244 , 6.2
1.246 , 5.9
1.248 , 6.4
1.25 , 6.7
1.252 , 7.0
1.254 , 4.5
1.256 , 5.0
1.258 , 7.4
1.26 , 5.6
1.262 , 7.1
1.264 , 5.6
1.266 , 5.6
1.268 , 5.9
1.27 , 5.4
1.272 , 7.2
1.274 , 3.9
1.276 , 5.1
1.278 , 6.1
1.28 , 5.7
1.282 , 5.1
1.284 , 5.7
1.286 , 5.8
1.288 , 5.1
1.29 , 7.3
1.292 , 4.4
1.294 , 6.2
1.296 , 6.3
1.298 , 5.1